chrX	2781941	2781943	cg17641041
chrX	2781982	2781984	cg11917035
chrX	2784256	2784258	cg01855098
chrX	2794402	2794404	cg07761179
chrX	2796975	2796977	cg25296477
chrX	2797016	2797018	cg01003813
chrX	2800554	2800556	cg21472919
chrX	2802671	2802673	cg08661297
chrX	2804633	2804635	cg15694634
chrX	2811171	2811173	cg00552897
chrX	2811354	2811356	cg07692437
chrX	2812624	2812626	cg13176022
chrX	2812642	2812644	cg00976386
chrX	2815122	2815124	cg26484667
chrX	2815590	2815592	cg06947241
chrX	2820627	2820629	cg18015805
chrX	2824124	2824126	cg08126620
chrX	2825618	2825620	cg21028156
chrX	2827898	2827900	cg11503671
chrX	2828378	2828380	cg22539189
chrX	2828483	2828485	cg02075301
chrX	2828649	2828651	cg14413526
chrX	2828655	2828657	cg03506684
chrX	2828709	2828711	cg08548871
chrX	2828716	2828718	cg17088291
chrX	2829997	2829999	cg16158045
chrX	2830192	2830194	cg25172603
chrX	2832059	2832061	cg22130067
chrX	2835845	2835847	cg13987815
chrX	2853817	2853819	cg11594742
chrX	2853845	2853847	cg20862176
chrX	2854974	2854976	cg21099623
chrX	2863882	2863884	cg23469063
chrX	2863908	2863910	cg06814742
chrX	2874370	2874372	cg02602508
chrX	2875841	2875843	cg03752729
chrX	2882415	2882417	cg21193180
chrX	2890072	2890074	cg27134916
chrX	2894572	2894574	cg08773976
chrX	2895109	2895111	cg10115936
chrX	2898610	2898612	cg07823489
chrX	2898923	2898925	cg17045185
chrX	2904061	2904063	cg20439034
chrX	2904069	2904071	cg04516056
chrX	2904219	2904221	cg23547143
chrX	2904877	2904879	cg23656963
chrX	2907228	2907230	cg04522721
chrX	2907320	2907322	cg02173072
chrX	2907397	2907399	cg19246080
chrX	2907554	2907556	cg09199027
chrX	2907814	2907816	cg05564764
chrX	2908744	2908746	cg00815358
chrX	2908787	2908789	cg01172526
chrX	2909897	2909899	cg18007543
chrX	2910068	2910070	cg04824852
chrX	2912655	2912657	cg15859687
chrX	2913055	2913057	cg21238425
chrX	2917908	2917910	cg15725869
chrX	2917985	2917987	cg26038441
chrX	2918193	2918195	cg22366897
chrX	2918258	2918260	cg18537571
chrX	2920654	2920656	cg08582546
chrX	2921435	2921437	cg26503676
chrX	2925154	2925156	cg14258335
chrX	2926639	2926641	cg03210191
chrX	2928851	2928853	cg25421903
chrX	2929071	2929073	cg22759686
chrX	2929436	2929438	cg05479376
chrX	2929468	2929470	cg07652272
chrX	2929507	2929509	cg01337545
chrX	2929515	2929517	cg21559133
chrX	2929519	2929521	cg00646140
chrX	2929979	2929981	cg13324949
chrX	2930339	2930341	cg04710661
chrX	2930482	2930484	cg11442616
chrX	2930781	2930783	cg16841079
chrX	2932591	2932593	cg09823452
chrX	2933600	2933602	cg24355989
chrX	2934803	2934805	cg08464958
chrX	2949643	2949645	cg12071297
chrX	2952457	2952459	cg16771588
chrX	2958148	2958150	cg03781301
chrX	2964141	2964143	cg22376897
chrX	2964291	2964293	cg11964613
chrX	2965265	2965267	cg00074638
chrX	2965431	2965433	cg17086791
chrX	2966190	2966192	cg27495926
chrX	2968253	2968255	cg17214408
chrX	2968266	2968268	cg04484376
chrX	2968398	2968400	cg09891853
chrX	2968474	2968476	cg01170371
chrX	2969096	2969098	cg19004607
chrX	2969649	2969651	cg25330975
chrX	2984566	2984568	cg21137340
chrX	3005821	3005823	cg11813355
chrX	3006006	3006008	cg27446382
chrX	3006423	3006425	cg13965132
chrX	3006593	3006595	cg26751510
chrX	3006623	3006625	cg01043281
chrX	3006912	3006914	cg24524949
chrX	3027254	3027256	cg22688927
chrX	3035964	3035966	cg01030584
chrX	3038828	3038830	cg23234741
chrX	3039898	3039900	cg07884424
chrX	3040064	3040066	cg24411296
chrX	3040223	3040225	cg07246427
chrX	3041071	3041073	cg12348276
chrX	3058135	3058137	cg18398217
chrX	3058296	3058298	cg10581188
chrX	3058398	3058400	cg12668411
chrX	3058425	3058427	cg18141022
chrX	3058451	3058453	cg05046076
chrX	3065835	3065837	cg09623439
chrX	3066157	3066159	cg03598947
chrX	3066536	3066538	cg06883934
chrX	3066556	3066558	cg00911398
chrX	3066679	3066681	cg06291093
chrX	3066697	3066699	cg01893797
chrX	3066757	3066759	cg17012513
chrX	3066785	3066787	cg16191573
chrX	3066862	3066864	cg02294251
chrX	3066943	3066945	cg05699806
chrX	3067238	3067240	cg05801628
chrX	3068051	3068053	cg01080552
chrX	3079055	3079057	cg03845359
chrX	3112593	3112595	cg27435799
chrX	3117806	3117808	cg06399500
chrX	3129476	3129478	cg07459645
chrX	3136756	3136758	cg12829894
